Name,ID,Course,Level,Section,Q1_Gen_P1_SLO1,Q2_Gen_P2_SLO1,Q3_Gen_P3_SLO1,Q4_Gen_P4_SLO4,Q5_Gen_P5_SLO3,Q6_Gen_P6_SLO5,Q7_Gen_P7_SLO1,Q8_Gen_P8_SLO1,Q9_Gen_P9_SLO1,Q10_Gen_P10_SLO1,Q11_Gen_P11_SLO1,Q12_Gen_P12_SLO1,Q13_Hel_P1_SLO1,Q14_Hel_P2_SLO2,Q15_Hel_P3_SLO4,Q16_Hel_P4_SLO1,Q17_Hel_P5_SLO1,Q18_Hel_P6_SLO1,Q19_Hel_P7_SLO1,Q20_Hel_P8_SLO1,Q21_Hel_P9_SLO5,Q22_Hel_P10_SLO2,Q23_Hel_P11_SLO2,Q24_Hel_P12_SLO2,Q25_Hel_P13_SLO2,Q26_Text_P1_SLO1,Q27_Text_P2_SLO3,Q28_Text_P3_SLO4,Q29_Text_P4_SLO4,Q30_Text_P5_SLO2,Q31_Text_P6_SLO1,Q32_Text_P7_SLO4,Q33_Text_P8_SLO5,Q34_SLO6,Q35_SLO6,Q36_SLO6,Q37_SLO6,Q38_SLO6,Q39_SLO6,Q40_SLO6,Q41_SLO6,Q42_SLO6,Q43_SLO6,Q44_SLO6,Q45_SLO6,Q46_SLO6,Q47_SLO6
Westley,9285244,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Chrystal,8055847,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Zebedee,6574794,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flora,1515314,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Courtnie,6964759,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Eisen,5888746,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Santonio,7033443,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bettyjo,4366921,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Etienne,9199350,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Kriss,9625125,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thresia,3627730,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Janette,5603513,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Taniah,8161778,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Avante,5383593,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Larenda,5509861,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elvis,1910907,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Lindsay,3322857,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Evelyne,4624312,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Allora,4926298,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hana,7724409,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Calijah,8479442,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Cassadee,6520353,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Alezander,3760155,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Elisa,4389176,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Julius,6328342,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Madhuri,8465067,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Umberto,3840944,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,A,B,C,C,B,A,A,A,B,A,A,A,A,C,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Donta,6170480,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Dezrae,5121597,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Avrum,8793579,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,A,B,C,C,B,A,A,A,B,A,A,A,A,C,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Maureen,8515552,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Chantina,8900496,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Urie,7780500,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Evalyn,4078743,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Philisha,9093227,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Kacee,2553273,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Rayne,1165884,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,A,B,C,C,B,A,A,A,B,A,A,A,A,C,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Frantz,4995125,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Brett,8970000,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donnis,4268610,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kathrine,2488586,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louetta,4489520,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Monroe,5757908,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Essie,5229208,Reading,6,A,A,B,A,C,B,C,A,B,A,B,B,A,B,C,C,C,A,B,A,A,B,A,A,A,A,A,B,B,B,C,B,C,B,C,A,B,D,B,C,B,E,C,D,D,B,E,C
Astor,1203657,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jolinda,2433248,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Daria,3430895,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Anisa,9015501,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Constance,5237035,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Keyra,5001198,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Edouard,7014602,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Kandie,4875617,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stachia,2699456,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Loreen,6015478,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donato,2021163,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Arif,1539553,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Tressa,4489213,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosa,4858437,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Anali,7599572,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Victor,4114096,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallie,2979664,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Cesareo,1464951,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Mallie,2860454,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assunta,6483313,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Lennie,8773293,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Marvene,5346633,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Jannet,8486900,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Celeste,2523002,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Jarold,6867661,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Lillia,4641858,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Nadine,7545022,Reading,6,A,A,B,A,C,A,A,A,B,A,A,B,A,A,B,C,C,B,B,A,A,A,A,A,A,A,C,B,C,B,C,C,B,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Parker,1540263,Reading,6,A,A,B,A,C,C,B,A,B,A,B,B,A,C,B,A,B,A,B,A,A,B,A,A,A,A,A,B,C,B,C,C,B,B,C,A,D,D,E,C,B,A,C,D,D,B,E,C
Kambrya,5282604,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Shenetta,4277826,Reading,6,A,A,B,A,C,A,A,A,B,A,B,B,A,A,B,A,C,B,B,A,A,A,A,A,A,B,B,C,C,B,C,A,C,B,C,A,D,D,B,C,B,A,C,E,D,A,E,C
Zain,6837224,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Trayveon,6400529,Reading,6,A,A,B,C,C,A,A,A,B,A,B,B,A,A,B,A,C,A,B,A,A,B,A,A,A,B,C,C,B,B,C,C,A,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Janelle,8507813,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Armando,6329535,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,A,A,C,C,C,A,D,D,C,E,B,C,E,D,D,B,E,C
Lewanda,9333826,Reading,6,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esmond,6217961,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Shaylah,8187279,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
Wadell,7457866,Reading,6,A,A,B,A,C,C,A,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,C,B,B,C,A,C,B,C,A,D,D,B,C,B,A,C,D,D,B,E,C
