Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Georgene,4367009,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Leialoha,7231648,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Calvin,9758917,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Natasha,5438217,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Aaniya,3804515,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Natayah,9993117,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Amos,4949585,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Elio,9046074,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Elveta,5842182,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Angelia,1627780,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Quanika,8035822,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Jerimah,2734183,Writing,5,A,Yes,Yes,Yes,0,39,39,NA,39,36,37,NA,36.5,37,38,NA,37.5,38,36,NA,37
Demond,9477454,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Adele,6099251,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Ovid,6642393,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Najeeb,1938247,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Muhamad,2419845,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Sena,7803754,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angel,6070452,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Kileigh,4997274,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Rosene,2309638,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Jayelyn,4376166,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Zabdi,3472273,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Zuriel,9783368,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Aashish,4930472,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Gertrude,8462337,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Perrie,6558980,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Aoki,7603587,Writing,5,A,Yes,Yes,Yes,0,39,39,NA,39,36,37,NA,36.5,37,38,NA,37.5,38,36,NA,37
Dane,2886556,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Ian,9595584,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Bradford,3043940,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Tashauna,6332781,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Gerron,3480182,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Rayfield,3895861,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Kamaron,2131437,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Terence,4381770,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Edwin,6809746,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Jermayne,8094654,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Tiaria,8232781,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Vikram,9500358,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louie,9122941,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Jimmel,2381426,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Shep,3239866,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Kandis,4694455,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Jade,5889982,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Shiloe,7309955,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Eugenio,9566294,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Idy,6579360,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Allen,4645813,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Jurni,1279350,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Kimaree,7590353,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Jahdai,1484813,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Lavell,4030474,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Doney,4922839,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Journee,8365048,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Jaeci,5235080,Writing,5,A,Yes,Yes,Yes,0,39,39,NA,39,36,37,NA,36.5,37,38,NA,37.5,38,36,NA,37
Emmitt,6243677,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Josephus,2481602,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Shaun,9384159,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Oliveah,3683837,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Lilianne,7978173,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Raela,5645646,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Hanson,9947973,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Kailah,4990746,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aryeh,8552237,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Sebastion,8697161,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Phillip,4420674,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Kathrin,9917974,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Marnell,5032179,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Ida,9516604,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Rozetta,1441581,Writing,5,A,Yes,Yes,Yes,0,37,36,NA,36.5,37,35,NA,36,37,32,NA,34.5,37,35,NA,36
Anmol,5998592,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Olander,5064364,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Dawnya,7016598,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Saxon,5851618,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Tamy,3309290,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
