Name,ID,Course,Level,Section,T1_Sr_Cont_R1,T1_Sr_Cont_R2,T1_Sr_Cont_R3,T1_Sr_Cont_AVE,T1_Sr_Org_R1,T1_Sr_Org_R2,T1_Sr_Org_R3,T1_Sr_Org_AVE,T1_Sr_Lu_R1,T1_Sr_Lu_R2,T1_Sr_Lu_R3,T1_Sr_Lu_AVE,T1_Sr_R1_tot,T1_Sr_R2_tot,T2_Cc_Cont_R1,T2_Cc_Cont_R2,T2_Cc_Cont_R3,T2_Cc_Cont_AVE,T2_Cc_Org_R1,T2_Cc_Org_R2,T2_Cc_Org_R3,T2_Cc_Org_AVE,T2_Cc_Lu_R1,T2_Cc_Lu_R2,T2_Cc_Lu_R3,T2_Cc_Lu_AVE,T2_Cc_R1_tot,T2_Cc_R2_tot
Elihu,5455794,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Tashell,4220159,Writing,3,A,4.25,3.25,NA,3.75,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,11.75,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Theodor,6292061,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Madilynn,3983203,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,4.25,4.25,NA,4.25,13.5,13.5,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.75,12.75
Junia,8196424,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Jeanetta,1738792,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denay,2235636,Writing,3,A,5,5,NA,5,5,5,NA,5,4.25,4.25,NA,4.25,14.25,14.25,5,5,NA,5,5,4.25,NA,4.625,5,5,NA,5,15,14.25
Andie,5175080,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Nandita,9397125,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Laurina,4826901,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,4.25,4.25,NA,4.25,13.5,13.5,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.75,12.75
Gladyce,6735444,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Lex,8290373,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Quintin,8418697,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adriaan,6251631,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Geniva,6053398,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Ilda,1774948,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Cederick,7073079,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julien,1194834,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Loid,1833282,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Dajah,5206383,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Alexander,3453414,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Aoife,8662376,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clara,7670727,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Torsten,1203432,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,5,4.25,NA,4.625,14.25,13.5,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Tamaris,4992676,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Jesilyn,2604625,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Jlyssa,8891805,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Theordore,3802938,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Javier,2744234,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleem,6840873,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Wyn,3977158,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Carl,9347770,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nerissa,2296276,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Ramal,7394934,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Paige,9077092,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Amarri,6164044,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Deirdre,6150039,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Burrell,8073842,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elanna,8879946,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Laqwan,1629600,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Jadan,7763781,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Elia,9673478,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Theda,6619588,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Clairese,3044665,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonay,4454117,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Yvetta,9762030,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Tanda,9630677,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiree,7161833,Writing,3,A,4.25,3.25,NA,3.75,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,11.75,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Kaleena,3966521,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Lorenza,1405742,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaditya,6981640,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Merrick,6142237,Writing,3,A,5,5,NA,5,5,5,NA,5,4.25,4.25,NA,4.25,14.25,14.25,5,5,NA,5,5,4.25,NA,4.625,5,5,NA,5,15,14.25
Goro,5408916,Writing,3,A,5,5,NA,5,5,5,NA,5,4.25,4.25,NA,4.25,14.25,14.25,5,5,NA,5,5,4.25,NA,4.625,5,5,NA,5,15,14.25
Elyana,6892738,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Eliazar,3832525,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Dominick,2400412,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Shan,9766950,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Earl,6468174,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Bert,5233433,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Teran,7077556,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Csilla,6227727,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,4.25,4.25,NA,4.25,13.5,13.5,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.75,12.75
Simuel,9319563,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Melaine,4769883,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,5,4.25,NA,4.625,14.25,13.5,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Bonna,9721498,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Angala,2981306,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keja,1595184,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Ivie,6961703,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Uriel,5508685,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Vondell,5820179,Writing,3,A,5,5,NA,5,5,5,NA,5,4.25,4.25,NA,4.25,14.25,14.25,5,5,NA,5,5,4.25,NA,4.625,5,5,NA,5,15,14.25
Mataeo,2175891,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,4.25,4.25,NA,4.25,13.5,13.5,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.75,12.75
Jorjia,5806255,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jettie,8468832,Writing,3,A,4.25,4.25,NA,4.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,12.75,13.5,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25
Winton,8581002,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,5,4.25,NA,4.625,14.25,13.5,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Caniyah,6190107,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Maranda,1976549,Writing,3,A,3.75,3.75,NA,3.75,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.25,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,4.25,4.25,NA,4.25,13.5,12.75
Arben,1477323,Writing,3,A,5,5,NA,5,5,5,NA,5,4.25,4.25,NA,4.25,14.25,14.25,5,5,NA,5,5,4.25,NA,4.625,5,5,NA,5,15,14.25
Adilyn,8688570,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Mariya,1820270,Writing,3,A,4.25,3.25,NA,3.75,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,11.75,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Irven,2968502,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pong,9367227,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Gretchen,5292049,Writing,3,A,5,5,NA,5,5,5,NA,5,5,5,NA,5,15,15,5,5,NA,5,4.25,4.25,NA,4.25,5,5,NA,5,14.25,14.25
Shawndell,9681737,Writing,3,A,5,3.75,3.75,4.166666667,5,4.25,4.25,4.5,5,4.25,4.25,4.5,15,12.25,4.25,4.25,NA,4.25,5,4.25,NA,4.625,5,4.25,NA,4.625,14.25,12.75
Burnell,6336237,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawon,2383624,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,5,4.25,NA,4.625,14.25,13.5,5,5,NA,5,5,4.25,NA,4.625,5,4.25,NA,4.625,15,13.5
Jenette,4639816,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drucilla,3059019,Writing,3,A,4.25,5,NA,4.625,4.25,5,NA,4.625,3.75,4.25,NA,4,12.25,14.25,4.25,4.25,NA,4.25,3.75,5,NA,4.375,4.25,3.75,NA,4,12.25,13
Michalea,1530766,Writing,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Therese,4399567,Writing,3,A,5,3.25,4.25,4.166666667,5,2.75,3.75,3.833333333,3.75,4.25,3.25,3.75,13.75,10.25,4.25,5,NA,4.625,4.25,4.25,NA,4.25,5,5,NA,5,13.5,14.25
Cristino,9649120,Writing,3,A,3.75,3.75,NA,3.75,4.25,3.75,NA,4,4.25,4.25,NA,4.25,12.25,11.75,3.75,4.25,NA,4,3.75,4.25,NA,4,4.25,4.25,NA,4.25,11.75,12.75
Sherwood,7063834,Writing,3,A,4.25,4.25,NA,4.25,5,5,NA,5,4.25,4.25,NA,4.25,13.5,13.5,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,4.25,4.25,NA,4.25,12.75,12.75
