Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO1,Q4_SLO1,Q5_SLO1,Q6_SLO1,Q7_SLO1,Q8_SLO1,Q9_SLO1,Q10_SLO1,Q11_SLO1,Q12_SLO1,Q13_SLO1,Q14_SLO2,Q15_SLO2,Q16_SLO2,Q17_SLO2,Q18_SLO2,Q19_SLO2,Q20_SLO2,Q21_SLO2,Q22_SLO2,Q23_SLO2,Q24_SLO3,Q25_SLO3,Q26_SLO3,Q27_SLO4,Q28_SLO4,Q29_SLO4,Q30_SLO4,Q31_SLO4,Q32_SLO4,Q33_SLO5,Q34_SLO5,Q35_SLO5,Q36_SLO5,Q37_SLO5,Q38_SLO5,Q39_SLO5,Q40_SLO5,Q41_SLO5,Q42_SLO5,Q43_SLO5,Q44_SLO5,Q45_SLO5,Q46_SLO6,Q47_SLO6,Q48_SLO6,Q49_SLO6,Q50_SLO6,Q51_SLO6,Q52_SLO6,Q53_SLO6,Q54_SLO6,Q55_SLO6,Q56_SLO7,Q57_SLO7,Q58_SLO7,Q59_SLO7,Q60_SLO7,Q61_SLO7,Q62_SLO7,Q63_SLO8,Q64_SLO8,Q65_SLO8,Q66_SLO8,Q67_SLO9,Q68_SLO8,Q69_SLO8,Q70_SLO9,Q71_SLO8
Kimberlyn,6655818,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garnette,8516874,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Vanity,3898144,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Leon,7896408,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mariam,4629071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jame,3749573,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reid,2738689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kel,2776262,Grammar,4,A,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Norea,5730474,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Langston,9893406,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Gillan,8791466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murel,7873896,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Geralene,6028564,Grammar,4,A,0,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0,1,2,1,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,0,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2
Rj,2859267,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Gustaf,3495652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angella,6675941,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Jaquelyn,6731487,Grammar,4,A,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Denyel,4423716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iven,4571470,Grammar,4,A,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,0,0,2,2,2,2,1,1,0,1,2,2,2,2,2
Harlym,6771455,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2
Ceil,6800727,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Loraine,2330701,Grammar,4,A,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Blaze,4171680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viviano,6720007,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ephriam,7087383,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2
Daijon,6010113,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Sol,2526292,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Glenn,6744026,Grammar,4,A,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Mahlik,5987853,Grammar,4,A,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Andre,4797510,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Emma,8478284,Grammar,4,A,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,0,0,2,2,2,2,1,1,0,1,2,2,2,2,2
Sloane,2735886,Grammar,4,A,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Quinterius,7468173,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Alian,7995328,Grammar,4,A,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,2,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Mario,7586773,Grammar,4,A,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Khadijah,5792465,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Justis,1590263,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Shanteka,9737965,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Shan,6437243,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Nori,9040143,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Cal,9180114,Grammar,4,A,0,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0,1,2,1,1,1,0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,0,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2
Kavina,5830080,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Darbie,6342755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalene,4876987,Grammar,4,A,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Nazia,5960562,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Deane,1518343,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
