Name,ID,Course,Level,Section,Q1_Bil_P1_SLO1,Q2_Bil_P2_SLO6,Q3_Bil_P3_SLO6,Q4_Bil_P4_SLO6,Q5_Bil_P5_SLO6,Q6_Bil_P6_SLO6,Q7_Bil_P7_SLO2,Q8_Bil_P8_SLO3,Q9_Bil_P9_SLO2,Q10_Bil_P10_SLO2,Q11_Bil_P11_SLO2,Q12_Bil_P12_SLO2,Q13_Bil_P13_SLO2,Q14_Bil_P14_SLO2,Q15_Age_P1_SLO1,Q16_Age_P2_SLO3,Q17_Age_P3_SLO5,Q18_Age_P4_SLO5,Q19_Age_P5_SLO5,Q20_Age_P6_SLO1,Q21_Age_P7_SLO2,Q22_Age_P8_SLO6,Q23_Age_P9_SLO4,Q24_Age_P10_SLO4,Q25_Econ_P1_SLO3,Q26_Econ_P2_SLO3,Q27_Econ_P3_SLO3,Q28_Econ_P4_SLO5,Q29_Econ_P5_SLO5,Q30_Econ_P6_SLO2,Q31_Econ_P7_SLO1,Q32_Econ_P8_SLO2,Q33_Econ_P9_SLO1,Q34_Econ_P10_SLO6,Q35_Econ_P11_SLO4,Q36_Econ_P12_SLO4,Q37_Econ_P13_SLO4,Q38_Econ_P14_SLO4,Q39_Econ_P15_SLO4,Q40_AVL1_SLO7,Q41_AVL2_SLO7,Q42_AVL3_SLO7,Q43_AVL4_SLO7,Q44_AVL5_SLO7,Q45_AVL6_SLO7,Q46_AVL7_SLO7,Q47_AVL8_SLO7,Q48_AVL9_SLO7,Q49_AVL10_SLO7,Q50_AVL11_SLO7,Q51_AVL12_SLO7,Q52_AVL13_SLO7,Q53_AVL14_SLO7,Total_Raw
Deyana,6208827,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,C,C,A,B,B,C,A,C,B,B,A,C,A,C,B,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,B,A,D,A,C,23
Joram,1884054,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Arminta,3677559,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Revonda,9097730,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Whitten,3443753,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Hali,5970315,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Rojelio,7740775,Reading,5,A,B,C,A,B,C,A,C,C,B,A,A,A,B,B,C,A,C,B,A,C,B,C,C,B,C,B,B,A,A,C,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,0
Hanford,5877703,Reading,5,A,B,C,A,C,B,A,B,C,A,B,A,B,A,A,C,A,C,C,A,A,B,B,C,A,C,B,A,B,A,A,C,A,B,B,A,A,B,A,B,C,B,D,E,D,B,A,C,A,D,A,D,A,C,37
Keonna,1645080,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Jackielyn,5973150,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Cliff,1163057,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Terral,5435599,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Matti,2646024,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Arya,4711877,Reading,5,A,A,C,B,B,C,A,B,C,B,B,A,A,A,A,A,C,B,A,C,A,B,B,C,A,C,B,A,A,C,C,C,B,A,B,A,A,B,A,B,D,C,B,A,C,E,D,B,C,B,A,D,A,C,NA
Luvenia,7715694,Reading,5,A,B,C,A,B,C,A,C,C,B,A,A,A,B,B,C,A,C,B,A,C,B,C,C,B,C,B,B,A,A,C,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,0
Nadya,8372080,Reading,5,A,B,C,B,B,C,A,C,C,B,A,A,B,B,A,C,A,C,B,A,C,B,B,C,B,C,B,B,A,A,A,C,A,B,B,A,A,B,A,B,B,D,C,A,C,E,A,D,D,C,C,D,A,C,31
Richa,9415774,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Crandall,8976664,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
Letitia,4987215,Reading,5,A,B,C,A,B,C,A,C,A,B,A,A,A,B,B,C,A,C,C,A,C,C,C,C,C,C,A,B,C,B,B,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,42
Shonta,5851651,Reading,5,A,B,C,B,B,C,A,C,C,A,A,A,B,B,A,C,A,C,C,C,C,B,B,B,C,C,C,A,A,A,A,C,B,B,B,A,A,B,A,B,D,C,B,A,C,E,A,B,B,C,A,D,A,C,34
Tish,1499981,Reading,5,A,A,C,B,B,C,A,B,C,B,B,A,A,A,A,A,C,B,A,C,A,B,B,C,A,C,B,A,A,C,C,C,B,A,B,A,A,B,A,B,D,C,B,A,C,E,D,B,C,B,A,D,A,C,NA
Tessi,3589937,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
Lester,6247767,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Dewana,8493507,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Sylva,9101484,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Karissa,6722502,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Dalisha,6859049,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,C,C,A,B,B,C,A,C,B,B,A,C,A,C,B,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,B,A,D,A,C,23
Harlow,2488653,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
Tess,9779370,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
Jaklyn,3495234,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Wess,1532915,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
Byrl,2277008,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Ruthellen,2629994,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Lynne,4829956,Reading,5,A,B,C,B,B,C,A,C,C,A,A,A,B,B,A,C,A,C,C,C,C,B,B,B,C,C,C,A,A,A,A,C,B,B,B,A,A,B,A,B,D,C,B,A,C,E,A,B,B,C,A,D,A,C,34
Corbin,7972627,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Kiele,2623373,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Mellanie,2355681,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Mozella,7700596,Reading,5,A,B,C,A,B,C,A,C,C,B,A,A,A,B,B,C,A,C,B,A,C,B,C,C,B,C,B,B,A,A,C,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,0
Lois,8031355,Reading,5,A,B,C,A,B,C,A,C,C,B,A,A,A,B,B,C,A,C,B,A,C,B,C,C,B,C,B,B,A,A,C,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,0
Semaj,7833383,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Drusella,3199154,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Shamus,1984297,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Daina,4729878,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
Marguita,3422906,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,C,C,A,B,B,C,A,C,B,B,A,C,A,C,B,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,B,A,D,A,C,23
Imelda,4091528,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Skylar,8054243,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Nolberto,6983783,Reading,5,A,B,C,B,B,C,A,C,C,B,A,A,B,B,A,C,A,C,B,A,C,B,B,C,B,C,B,B,A,A,A,C,A,B,B,A,A,B,A,B,B,D,C,A,C,E,A,D,D,C,C,D,A,C,31
Hyacinth,6487751,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Cecil,8620263,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Jatniel,6029847,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Caty,8118210,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
Deena,2918235,Reading,5,A,B,C,C,B,C,A,C,C,C,A,A,B,B,B,C,A,B,C,A,C,B,A,C,C,C,B,B,B,A,C,A,B,B,A,A,A,B,B,B,E,B,C,A,C,E,B,D,C,B,C,D,A,C,39
Marilouise,1087023,Reading,5,A,B,C,B,C,C,C,C,C,B,B,A,B,B,A,C,A,C,B,B,B,B,B,C,B,B,C,B,B,C,A,A,A,C,C,A,A,B,A,B,E,D,C,A,A,E,B,C,C,B,C,D,A,C,0
Semhal,5646174,Reading,5,A,A,C,B,B,C,A,B,C,B,B,A,A,A,A,A,C,B,A,C,A,B,B,C,A,C,B,A,A,C,C,C,B,A,B,A,A,B,A,B,D,C,B,A,C,E,D,B,C,B,A,D,A,C,NA
Raelin,5076654,Reading,5,A,B,C,B,B,C,A,C,C,B,A,A,B,B,A,C,A,C,B,A,C,B,B,C,B,C,B,B,A,A,A,C,A,B,B,A,A,B,A,B,B,D,C,A,C,E,A,D,D,C,C,D,A,C,31
Milissa,2777072,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Sadiee,6257598,Reading,5,A,B,C,A,C,B,A,B,C,A,B,A,B,A,A,C,A,C,C,A,A,B,B,C,A,C,B,A,B,A,A,C,A,B,B,A,A,B,A,B,C,B,D,E,D,B,A,C,A,D,A,D,A,C,37
Ricketta,3199174,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Lamekia,1990199,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Sadira,6680104,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Posie,4496300,Reading,5,A,B,C,A,B,C,A,C,A,B,A,A,A,B,B,C,A,C,C,A,C,C,C,C,C,C,A,B,C,B,B,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,42
Melton,4506362,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Neida,8536198,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
Auren,2742206,Reading,5,A,B,C,C,B,C,A,C,C,C,A,A,B,B,B,C,A,B,C,A,C,B,A,C,C,C,B,B,B,A,C,A,B,B,A,A,A,B,B,B,E,B,C,A,C,E,B,D,C,B,C,D,A,C,39
Delta,2301257,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,C,C,A,B,B,C,A,C,B,B,A,C,A,C,B,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,B,A,D,A,C,23
Brier,7552317,Reading,5,A,B,C,B,B,C,A,C,C,A,A,A,B,B,A,C,A,C,C,C,C,B,B,B,C,C,C,A,A,A,A,C,B,B,B,A,A,B,A,B,D,C,B,A,C,E,A,B,B,C,A,D,A,C,34
Sundae,1292021,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Jimmye,6395255,Reading,5,A,B,C,A,B,C,C,C,B,B,A,A,B,B,A,C,A,C,A,A,C,B,B,C,B,B,B,B,C,A,B,B,A,C,B,A,A,B,A,B,D,C,B,A,A,E,C,D,B,C,A,D,A,C,36
Jazelle,8734561,Reading,5,A,B,C,B,B,C,A,C,C,B,A,A,B,B,A,C,A,C,B,A,C,B,B,C,B,C,B,B,A,A,A,C,A,B,B,A,A,B,A,B,B,D,C,A,C,E,A,D,D,C,C,D,A,C,31
Meyli,8311682,Reading,5,A,B,C,C,B,C,A,C,C,C,A,A,B,B,B,C,A,B,C,A,C,B,A,C,C,C,B,B,B,A,C,A,B,B,A,A,A,B,B,B,E,B,C,A,C,E,B,D,C,B,C,D,A,C,39
Marayah,4399672,Reading,5,A,B,C,C,B,C,A,C,C,C,A,A,B,B,B,C,A,B,C,A,C,B,A,C,C,C,B,B,B,A,C,A,B,B,A,A,A,B,B,B,E,B,C,A,C,E,B,D,C,B,C,D,A,C,39
Delphina,8656183,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
Janie,8471316,Reading,5,A,B,C,B,B,C,A,C,C,A,A,A,B,B,A,C,A,C,C,C,C,B,B,B,C,C,C,A,A,A,A,C,B,B,B,A,A,B,A,B,D,C,B,A,C,E,A,B,B,C,A,D,A,C,34
Mylin,3658328,Reading,5,A,B,C,C,B,C,A,C,C,B,A,A,B,B,A,C,A,C,A,B,C,B,B,C,B,C,B,B,C,A,A,C,A,C,A,A,A,B,A,B,D,C,B,A,A,E,C,D,C,B,A,D,A,C,50
Hipolito,3402278,Reading,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
Leisha,2807003,Reading,5,A,B,C,A,B,C,A,C,A,B,A,A,A,B,B,C,A,C,C,A,C,C,C,C,C,C,A,B,C,B,B,C,B,B,B,A,A,B,A,B,D,C,B,A,A,E,C,D,D,C,A,D,A,C,42
Allison,5848214,Reading,5,A,B,C,A,C,B,A,B,C,A,B,A,B,A,A,C,A,C,C,A,A,B,B,C,A,C,B,A,B,A,A,C,A,B,B,A,A,B,A,B,C,B,D,E,D,B,A,C,A,D,A,D,A,C,37
Cass,3504768,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Orla,4468573,Reading,5,A,B,C,A,B,B,A,C,C,A,A,A,A,B,B,C,NA,C,C,A,C,B,A,C,A,B,A,B,A,A,C,C,B,B,C,A,A,B,A,B,D,C,B,A,D,E,C,A,D,C,B,D,A,C,34
Deashley,7500317,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
Allyana,1668258,Reading,5,A,B,C,C,C,C,C,C,C,B,B,A,B,B,A,C,A,C,A,B,C,B,C,C,B,C,B,B,B,A,B,C,B,B,A,A,A,B,B,B,D,C,B,E,A,E,C,D,B,C,A,C,A,C,28
Arrick,1196090,Reading,5,A,A,C,A,B,C,A,C,C,B,B,A,A,B,B,C,A,C,B,B,C,B,A,C,A,A,B,A,A,C,C,A,B,B,A,A,A,B,A,A,A,A,A,A,A,E,C,B,C,B,A,D,A,C,40
Leanord,4880498,Reading,5,A,C,C,A,B,C,A,C,A,B,B,A,B,A,A,B,C,C,C,B,B,A,A,C,A,B,C,B,A,C,C,B,C,B,A,A,A,B,A,B,NA,C,B,D,E,E,A,B,B,D,C,D,A,C,30
Dazariah,4420959,Reading,5,A,B,C,C,B,C,C,C,C,B,A,A,A,B,A,C,A,C,B,A,C,B,B,C,A,C,B,A,C,C,A,C,A,C,C,A,A,B,A,B,D,C,B,A,A,E,D,C,A,C,A,D,A,C,33
Nevan,3127123,Reading,5,A,A,C,C,B,C,A,C,C,B,A,A,B,B,B,C,A,C,C,B,B,B,A,C,C,C,B,A,A,C,B,C,B,B,B,A,A,B,A,B,D,B,C,A,A,E,C,B,A,B,B,D,A,C,30
