Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Cosimo,9044655,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Sayana,6763012,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Tahj,8994854,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laurita,3751022,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Montana,2909087,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Tuesdee,9087625,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Lindsay,4166488,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keena,9321456,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ediberto,2221593,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Marigrace,9429686,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laticia,6111955,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Kip,3151788,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Alejandrina,3414830,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Yaniz,5166356,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevinn,2817479,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qaasim,9389121,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Brookleigh,7509062,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Norvella,4217163,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caeleigh,4224370,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Tish,9123074,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Cheskel,8841059,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Louanne,3791357,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Raul,6092734,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ace,8746567,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Yanet,1300504,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Elvie,9972150,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Ellery,3883991,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Ruey,1280088,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czarina,8066682,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Ersilia,3716798,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Parlee,4395403,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sherman,8870418,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Oreda,5607916,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joyelle,9136853,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hodges,9196149,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briden,9244943,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Aeriana,5597348,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Hagan,5654847,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Geneva,8177881,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Katilin,7023449,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Damacio,8635558,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Jda,4003058,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Mikell,5920816,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorma,7781591,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,38,36,NA,37,36,36,NA,36,36,36,NA,36
Ladarious,5332491,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Rhyse,8623303,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Alise,2099155,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Llewellyn,6490191,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chizaram,3663200,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanderbilt,3614836,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micky,3263043,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Shanika,8753677,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madisson,6224420,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zelma,5152399,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Neha,1812770,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Devoiry,7930915,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lera,5073277,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Claxton,8640727,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leman,2623736,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Alvan,8057880,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Keesha,9079336,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Tammie,2860514,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Jesus,8573470,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Magenta,2012299,Writing,6,A,Yes,Yes,Yes,0,40,40,NA,40,38,38,NA,38,38,38,NA,38,40,38,NA,39
Shawon,4315725,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abe,5657217,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Lizzy,4542279,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Clifford,7142361,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Karey,6864821,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Clydene,1038239,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,38,38,NA,38,36,38,NA,37,36,38,NA,37
Baley,7163376,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaine,1022841,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Aurore,6247008,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Elin,5350998,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Daltyn,6764169,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Genowefa,9235422,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Ira,5316009,Writing,6,A,Yes,Yes,Yes,0,34,32,NA,33,32,32,NA,32,32,32,NA,32,32,32,NA,32
Alegra,9806653,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Lugenia,2320687,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Wanda,7486922,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Monty,5928107,Writing,6,A,Yes,Yes,Yes,0,35,35,NA,35,36,32,NA,34,34,32,NA,33,34,32,NA,33
Devin,9360787,Writing,6,A,Yes,Yes,Yes,0,36,36,NA,36,35,36,NA,35.5,35,36,NA,35.5,35,32,NA,33.5
Hunter,3369339,Writing,6,A,Yes,Yes,Yes,0,38,38,NA,38,36,38,NA,37,36,38,NA,37,38,38,NA,38
Kenneth,3605070,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaci,3755755,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elizbeth,4099640,Writing,6,A,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
