Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO1,Q4_SLO1,Q5_SLO1,Q6_SLO1,Q7_SLO1,Q8_SLO1,Q9_SLO1,Q10_SLO1,Q11_SLO1,Q12_SLO1,Q13_SLO1,Q14_SLO1,Q15_SLO1,Q16_SLO1,Q17_SLO1,Q18_SLO1,Q19_SLO1,Q20_SLO1,Q21_SLO1,Q22_SLO1,Q23_SLO1,Q24_SLO2,Q25_SLO2,Q26_SLO2,Q27_SLO2,Q28_SLO2,Q29_SLO2,Q30_SLO2,Q31_SLO2,Q32_SLO2,Q33_SLO2,Q34_SLO2,Q35_SLO2,Q36_SLO2,Q37_SLO2,Q38_SLO2,Q39_SLO2,Q40_SLO2,Q41_SLO2,Q42_SLO3,Q43_SLO3,Q44_SLO3,Q45_SLO3,Q46_SLO3,Q47_SLO3,Q48_SLO3,Q49_SLO3,Q50_SLO3,Q51_SLO3,Q52_SLO3,Q53_SLO3,Q54_SLO4,Q55_SLO4,Q56_SLO4,Q57_SLO4,Q58_SLO4,Q59_SLO4
Mirae,4855622,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,1,1,2,0,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,3,3,3
Alston,4003720,Grammar,5,A,0,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,1,0,0,1,2,0,1,1,1,2,1,1,2,2,1,1,2,0,2,2,2,2,1,2,1,1,1,1,1,0,1,1,0,1,1,1,2,1,1,2,3,0,3
Jazalynn,9338478,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anjannette,4108678,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Leaann,7894826,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Helene,5291216,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,3,3,3
Semaja,2905264,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,21,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,3,3,3
Hobert,3289279,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Kenny,3793351,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,21,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,3,3,3
Maleka,1979966,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,3,3,3
Laurence,3857001,Grammar,5,A,0,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,1,0,0,1,2,0,1,1,1,2,1,1,2,2,1,1,2,0,2,2,2,2,1,2,1,1,1,1,1,0,1,1,0,1,1,1,2,1,1,2,3,0,3
Shaundra,6436708,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,2,2,2,1,2,1,0,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,3,3,3
Ardie,1282521,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Nyshaun,6924218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sailor,3492530,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,0,1,2,0,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,3,0,3
Daylan,9125849,Grammar,5,A,1,1,1,1,1,1,0,1,1,1,1,2,2,0,2,2,0,1,2,2,2,2,1,2,1,2,2,1,2,2,0,0,2,2,2,0,2,2,2,2,2,1,1,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3
Mikhayla,4867713,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,3
Brogan,8695425,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Nicolette,4917926,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,0,1,2,0,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,3,0,3
Woody,5154542,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,3
Corliss,3764176,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agapito,3344771,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Lacye,7485627,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Roxie,7834238,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,21,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,3,3,3
Kyleen,5930562,Grammar,5,A,0,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,1,0,0,1,2,0,1,1,1,2,1,1,2,2,1,1,2,0,2,2,2,2,1,2,1,1,1,1,1,0,1,1,0,1,1,1,2,1,1,2,3,0,3
Fabian,6259395,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0,2,0,2,1,2,2,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,3,3
Idriss,4554419,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Tiwanda,2050571,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Gaylene,4325349,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Charlie,5634862,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Xaria,9854598,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,2,2,2,1,2,1,0,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,3,3,3
Pookela,3949606,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Sonnie,7906996,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snigdha,7576123,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Caison,3712232,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Corwin,4797160,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaye,3284591,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,21,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,3,3,3
Mercede,4293921,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,2,2,2,1,2,1,0,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,3,3,3
Tajuana,2892418,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Sonya,1636755,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,21,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,3,3,3
Lataya,1739859,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0,2,0,2,1,2,2,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,3,3
Laneisha,5040016,Grammar,5,A,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,0,1,1,2,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3,2,3
Sun,5990242,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Nino,8482257,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamison,7749386,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Clarabel,4362113,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,0,1,1,1,0,1,0,1,1,2,1,1,2,1,2,2,2
Kwan,9091446,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,0,1,1,1,0,1,0,1,1,2,1,1,2,1,2,2,2
Loretta,5376178,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,3
Lorra,3061075,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Wilbert,3199916,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,0,1,1,1,0,1,0,1,1,2,1,1,2,1,2,2,2
Dasha,3934698,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,3,3,3
Gerrick,5355388,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Avenir,9327737,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerry,2054855,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Misti,1589395,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Roselle,4307052,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0,2,0,2,1,2,2,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,2,2,3,3
Trace,8277858,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Julianne,5470334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallie,2633692,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Benigno,2969163,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,3
Sherrell,9482030,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,2,2,3,3,3
Wava,1246168,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Lowen,8432731,Grammar,5,A,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,0,1,1,2,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3,2,3
Legrande,3447269,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Darrie,4002326,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
Dacia,7930010,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,1,1,2,0,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,3,3,3
Delma,1321372,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennette,7159950,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,0,1,1,1,0,1,0,1,1,2,1,1,2,1,2,2,2
Merrick,6545223,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,3
Gustav,5186621,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,0,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Makhiya,7564893,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,2,1,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,3
Kalie,2354157,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Morganne,5113141,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brantley,8228294,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,0,1,2,0,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,3,0,3
Quinn,1906987,Grammar,5,A,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,3
Jacob,8131831,Grammar,5,A,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
Katharine,4463945,Grammar,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velina,2797273,Grammar,5,A,1,0,1,1,1,1,1,1,1,1,1,2,2,0,2,2,2,1,2,0,1,2,0,2,1,2,2,1,1,1,1,2,2,2,2,0,2,2,1,1,2,1,0,1,1,1,1,1,0,0,0,2,2,2,2,2,3,3,3
