Name,ID,Course,Level,Section,Q1_SLO8,Q2_SLO8,Q3_SLO8,Q4_SLO8,Q5_SLO8,Q6_SLO8,Q7_SLO8,Q8_SLO8,Q9_SLO5,Q10_SLO5,Q11_SLO5,Q12_SLO5,Q13_SLO5,Q14_SLO5,Q15_SLO5,Q16_SLO5,Q17_SLO5,Q18_SLO5,Q19_SLO5,Q20_SLO5,Q21_SLO5,Q22_SLO5,Q23_SLO4,Q24_SLO4,Q25_SLO4,Q26_SLO4,Q27_SLO4,Q28_SLO4,Q29_SLO4,Q30_SLO4,Q31_SLO4,Q32_SLO4,Q33_SLO4,Q34_SLO4,Q35_SLO4,Q36_SLO4,Q37_SLO4,Q38_SLO4,Q39_SLO4,Q40_SLO4,Q41_SLO6,Q42_SLO6,Q43_SLO6,Q44_SLO6,Q45_SLO6
Jalena,7044771,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Zelene,9263185,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Araceli,1907678,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Odessa,2159369,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Alexys,1322519,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Lisle,6042006,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Wilbert,1486388,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Owen,3635393,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Glenwood,8150795,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Dominico,4928214,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Hero,3710972,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Lexany,4107641,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rudolf,8218892,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lionela,1859133,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Relia,8976922,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Darniece,8869259,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Bryston,8037011,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Carole,4397278,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Teofilo,7631417,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shoshanna,9424869,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Byanka,1586024,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Michiel,6645968,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Thomasene,8273895,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Emelia,1685369,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Georgette,1383157,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Solveig,5511119,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Myishia,2083255,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Taelynn,1387943,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Donnia,3377788,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Azzie,1872655,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Merve,4454477,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Janie,6881791,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Merelene,8382734,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Junius,6563256,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Aria,8489911,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Manda,4112434,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Wilhelm,6972193,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Tyree,7478256,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Stanford,4015319,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Terrilyn,9240484,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Vernita,9469762,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cherryl,8432414,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Leane,5403929,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Kristiane,7525299,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Aliciana,4626613,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Josiephine,6336713,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Merril,4177859,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Arian,3052697,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0
Deziree,7825786,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Levern,7660018,Grammar,1,A,2,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,2,2,2,2,2
Helayne,6477213,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
Kavonte,8299250,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0
Texie,9318093,Grammar,1,A,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2,1,2,2,1,1,1,2,2,0,0,0,2,0
