Name,ID,Course,Level,Section,Cover_Letter,Major_Assignment,Choices,Num_missing,CD_R1,CD_R2,CD_R3,CD_AVE,ORG_R1,ORG_R2,ORG_R3,ORG_AVE,LU_R1,LU_R2,LU_R3,LU_AVE,SU_R1,SU_R2,SU_R3,SU_AVE
Annita,1380460,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Johnson,7933157,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Megen,6539692,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Vonceil,5534422,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Handy,8884931,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Breauna,7255864,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Minna,6767572,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Machael,5838438,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Lionel,2341332,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Cecilia,6672702,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Michele,9251760,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Chanina,9686039,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Rochella,2074329,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Anshel,4629941,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Mick,3414770,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Caydin,6530761,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Mayo,8975352,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Bryli,3770881,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Shyleigh,5835544,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Egbert,2605559,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Lauri,6112966,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Jada,9606233,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Danyka,2572738,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Asusena,5634665,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Charlise,6843609,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Kaydia,6661570,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallia,7687548,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Stasha,8735119,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Divinity,3142534,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Neyla,8053366,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Rory,5632072,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Makaiya,2797693,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Mabel,9492870,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Einar,8461315,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Almeter,8336879,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Crimson,9383335,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Tirzah,3934365,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Errick,9535069,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Nels,6601819,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Martise,5327871,Writing,5,B,Yes,Yes,Yes,0,32,35,NA,33.5,33,35,NA,34,34,37,NA,35.5,31,32,NA,31.5
Iven,9386956,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Domenico,9539994,Writing,5,A,Yes,Yes,Yes,0,37,36,NA,36.5,37,35,NA,36,37,32,NA,34.5,37,35,NA,36
Orvel,1959280,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Cieara,3465805,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Almond,5287128,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Gladis,1999289,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Dale,9865068,Writing,5,A,Yes,Yes,Yes,0,39,39,NA,39,36,37,NA,36.5,37,38,NA,37.5,38,36,NA,37
Amadeus,7086356,Writing,5,A,Yes,Yes,Yes,0,36,33,NA,34.5,35,33,NA,34,33,31,NA,32,35,34,NA,34.5
Ramata,1984596,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petra,7917545,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Latavia,1306887,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parris,7352004,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Sona,7124872,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Laiken,2602525,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Camillia,1189364,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornelio,1711083,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Leon,3829507,Writing,5,A,Yes,Yes,Yes,0,31,33,NA,32,28,31,NA,29.5,27,32,NA,29.5,29,32,NA,30.5
Diamon,7375692,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Loring,3098430,Writing,5,B,Yes,Yes,Yes,0,33,32,NA,32.5,32,32,NA,32,32,33,NA,32.5,31,32,NA,31.5
Palmira,7131477,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Lysandra,6370060,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Winthrop,3997798,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Lizzie,8031819,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Dixie,4144834,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Dabria,3515075,Writing,5,B,No,Yes,Yes,4,28,28,NA,28,28,29,NA,28.5,25,26,NA,25.5,28,29,NA,28.5
Kaula,5751941,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Montique,5529054,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Karli,4939877,Writing,5,B,Yes,Yes,Yes,0,31,34,NA,32.5,30,34,NA,32,29,32,NA,30.5,28,32,NA,30
Breken,9364103,Writing,5,A,Yes,Yes,Yes,0,36,35,NA,35.5,35,33,NA,34,34,36,NA,35,35,35,NA,35
Kaziah,1161644,Writing,5,A,Yes,Yes,Yes,0,37,36,NA,36.5,37,35,NA,36,37,32,NA,34.5,37,35,NA,36
Ewald,4747281,Writing,5,A,Yes,Yes,Yes,0,34,34,NA,34,34,33,NA,33.5,34,28,NA,31,34,31,NA,32.5
Gaspar,3027717,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Benjamin,6108576,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Makira,8267656,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Pearley,3429098,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Hiba,7824515,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Mira,8643485,Writing,5,B,Yes,Yes,Yes,0,38,38,NA,38,40,35,NA,37.5,39,40,NA,39.5,36,38,NA,37
Manny,5683229,Writing,5,B,No,No,No,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandro,2692545,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Ridley,4409899,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Lorian,4674026,Writing,5,A,Yes,Yes,Yes,0,36,38,NA,37,34,38,NA,36,35,36,NA,35.5,36,37,NA,36.5
Cosimo,1821695,Writing,5,B,Yes,Yes,Yes,0,39,36,NA,37.5,39,36,NA,37.5,40,37,NA,38.5,36,36,NA,36
Jesus,5325808,Writing,5,A,Yes,Yes,Yes,0,28,31,31,29.5,27,35,27,31,28,31,30,29.5,28,32,28,30
Severine,6477005,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
Arch,6956800,Writing,5,A,Yes,Yes,Yes,0,40,40,NA,40,40,40,NA,40,40,40,NA,40,40,40,NA,40
Kenneth,9757899,Writing,5,B,Yes,Yes,Yes,0,33,34,NA,33.5,34,34,NA,34,30,32,NA,31,32,34,NA,33
Casmira,7255967,Writing,5,B,No,Yes,Yes,4,31,30,NA,30.5,32,32,NA,32,29,31,NA,30,28,28,NA,28
Tyishia,2637065,Writing,5,A,Yes,Yes,Yes,0,34,32,NA,33,34,36,NA,35,32,34,NA,33,33,32,NA,32.5
